id	Kode Proses	Finish	Part Name	Part Number	Process Name	Process Description	Cust. Name	Line	CT/PCS	Pcs/Jam	Cavity	
	7373	FG-YMI-0464	Handle Comp	BL1-F6110-00	Assy	Assy 1 - 3	YIMM	HANDLE COMP ASSY	61.51	58.52706877	1	
	7374	0	Handle Comp	BL1-F6110-00	Final Check	Check Inspection Jig + Packing + Visual + Tap + Marking	YIMM	HANDLE COMP CHECK	101.65	35.41564191	1	
	7375	FG-YMI-0464	PIPA HANDLE COMP BL1	BL1-F6110-00	Check After Assy	Gerinda + Check Insp. Jig + Sendring + Visual + Packing	YIMM	HANDLE COMP ASSY	75	48	1	
	7376	FG-YMI-0464	PIPA HANDLE COMP BL1	BL1-F6110-00	Bender	Bending Roll + Pierce 1	YIMM	HANDLE COMP ASSY	22	163.6363636	1	
	7377	FG-YMI-0493	"HOLDER,WIRE"	BL2F3317000080	Final Check	Final Check (EXPORT)	YIMM	CHECK FINISH EXP	16.98113208	212	1	
	7378	FG-YMI-0863	"BRKT.,COIL"	BLSF1359000080	Spot	Spot Nut	YIMM	SPOT WELDING	6.153846154	585	1	
	7379	FG-YMI-0863	"BRKT.,COIL"	BLSF1359000080	Final Check	Check Insp Jig + Tap + Check Visual + Marking + Packing	YIMM	SPOT WELDING	12	300	1	
	7380	FG-YMI-0863	"BRKT.,COIL"	BLSF13590000R0	Final Check	Check Insp Jig + Tap + Check Visual + Cuci + Packing (EXPORT)	YIMM	CHECK FINISH EXP	28.125	128	1	
	7381	FG-YMI-0864	"STAY,IGN. COIL"	BLSF194U000080	Assy	Assy	YIMM	WELDING ROBOT	16	225	1	
	7382	FG-YMI-0864	"STAY,IGN. COIL"	BLSF194U000080	Final Check	Check Visual + Check Insp Jig + Packing (EXPORT)	YIMM	CHECK FINISH EXP	41.44	86.87258687	1	
	7383	FG-YMI-0864	"STAY,IGN. COIL"	BLSF194U000080	Check After Assy	Cek Total	YIMM	WELDING ROBOT	24	150	1	
	7384	FG-YMI-0864	"STAY,IGN. COIL"	BLSF194U000080	Final Check	Visual + Inip Jig + Packing	YIMM	CHECK FINISH	12.87	279.7202797	1	
	7385	FG-YMI-0864	"STAY,IGN. COIL"	BLSF194U000080	Assy	Assy (2 WRFD - 055)	YIMM	WELDING ROBOT	24	150	1	
	7386	FG-YMI-0864	"STAY,IGN. COIL"	BLSF194U000080	Assy	Assy (2 WRFDB - 110)	YIMM	WELDING ROBOT	26.08695652	138	1	
	7387	FG-YMI-0832	HANDLE COMP	BMKF6110000080	Check After Assy	cek Visual +  Packing	YIMM	HANDLE COMP ASSY	56.25	64	1	
	7388	FG-YMI-0832	HANDLE COMP	BMKF6110000080	Final Check	Check jig  + Visual + Packing+marking packing	YIMM	HANDLE COMP CHECK	144	25	1	
	7389	FG-YMI-0832	HANDLE COMP	BMKF6110000080	Final Check	Cek Jig + Tap + Visual 	YIMM	HANDLE COMP CHECK	156.5217391	23	1	
	7390	FG-YMI-0832	HANDLE COMP	BMKF6110000080	Assy	Assy 1 - 4	YIMM	HANDLE COMP ASSY	73.46938776	49	1	
	7391	FG-YMI-0867	"STAY,3"	BPNF8358000080	Check After Assy	Check	YIMM	WELDING ROBOT	49	73.46938776	1	
	7392	FG-YMI-0867	"STAY,3"	BPNF8358000080	Assy	Assy Welding 	YIMM	WELDING ROBOT	30	120	1	
	7393	FG-YMI-0873	"BRKT.,SEAT 1"	BSSF1341000080	Assy	Assy Welding 	YIMM	WELDING ROBOT	90	40	1	
	7394	FG-YMI-0873	"BRKT.,SEAT 1"	BSSF1341000080	Check After Assy	Roll Tap + Buang Spatter + Insp Jig + Marking + Gosok + Visual + Packing	YIMM	WELDING ROBOT	61.57	58.47003411	1	
	7395	FG-YMI-0935	HANDLE COMP	BWN-F6111-00	Final Check	Check Insp Jig + Visual + Packing	YIMM	HANDLE COMP CHECK	40.69	88.47382649	1	
	7396	FG-YMI-0935	HANDLE COMP	BWN-F6111-00	Bender	Bender	YIMM	HANDLE COMP ASSY	33	109.0909091	1	
	7397	FG-YMI-0890	"HINGE,SEAT"	BWPF4726000080	Final Check	Final Check (EXPORT)	YIMM	CHECK FINISH EXP	18.43	195.3336951	1	
	7398	FG-YMI-0890	"HINGE,SEAT"	BWPF4726000080	Final Check	Final Check	YIMM	CHECK FINISH	12	300	1	
	7399	FG-YMI-0886	"STAY,3"	BWPF8358000080	Check After Assy	Manual	YIMM	WELDING ROBOT	30	120	1	
	7400	FG-YMI-0886	"STAY,3"	BWPF8358000080	Assy	Robot Welding	YIMM	WELDING ROBOT	41.86046512	86	1	
	7401	FG-YMI-0886	"STAY,3"	BWPF8358000080	Final Check	Final Check (EXPORT)	YIMM	CHECK FINISH EXP	55	65.45454545	1	
	7402	FG-YMI-0886	"STAY,3"	BWPF8358000080	Final Check	Final Check	YIMM	CHECK FINISH	30	120	1	
	7403	0	Brkt. Main Stand 1	BX9-F1437-00	Assy	"Sub Assy 1 (L, R) + Sub Assy 2 (L, R) + Assy 1 + Assy Finish"	YIMM	WELDING ROBOT	76	47.36842105	1	
	7404	0	Brkt. Main Stand 1	BX9-F1437-00	check after assy	Check Insp. Jig + Visual + Packing	YIMM	WELDING ROBOT	74	48.64864865	1	
	7405	0	Brkt. Main Stand 1	BX9-F1437-00	Assy	Assy (BMS 2 + BMS 1 + BMS BX9) > Gabungan	YIMM	HANDLE COMP ASSY	81	44.44444444	1	
	7406	FG-YMI-0676	BRKT MAIN STAND 1	BX9F1437000080	Assy	Sub Assy 1 R&L	YIMM	WELDING UMUM	120	30	1	
	7407	FG-YMI-0676	BRKT MAIN STAND 1	BX9F1437000080	Check After Assy	Check + Packing	YIMM	WELDING UMUM	120	30	1	
	7408	FG-YMI-0676	BRKT MAIN STAND 1	BX9F1437000080	Assy	Sub Assy 1 R&L	YIMM	WELDING ROBOT	120	30	1	
	7409	FG-YMI-0676	BRKT MAIN STAND 1	BX9F1437000080	Check After Assy	Check + Packing	YIMM	WELDING ROBOT	120	30	1	
	7410	FG-YMI-0941	"STAY,FENDER 1"	BXYF1513000080	Check After Assy	"Buang Sparter+Gosok,lap+visual +check Jig"	YIMM	WELDING ROBOT	65.45454545	55	1	
	7411	FG-YMI-0941	"STAY,FENDER 1"	BXYF1513000080	Final Check	Final Check	YIMM	CHECK FINISH	65.88	54.64480874	1	
	7412	FG-YMI-0941	"STAY,FENDER 1"	BXYF1513000080	Assy	Assy Welding 	YIMM	WELDING ROBOT	36	100	1	
	7413	FG-YMI-0941	"STAY,FENDER 1"	BXYF1513000080	Final Check	Final Check (EXPORT)	YIMM	CHECK FINISH EXP	36	100	1	
	7414	FG-YMI-0941	"STAY,FENDER 1"	BXYF1513000080	Final Check	Final Check	YIMM	CHECK FINISH	36	100	1	
	7415	FG-YMI-0919	HANDLE COMP	BXYF6110000080	Assy	Sub Assy 1-2 + Assy 1-3	YIMM	HANDLE COMP ASSY	145	24.82758621	1	
	7416	FG-YMI-0919	HANDLE COMP	BXYF6110000080	Final Check	Check Insp Jig + Alignment + Visual + Marking + Packing	YIMM	HANDLE COMP CHECK	124	29.03225806	1	
	7417	FG-YMI-0919	HANDLE COMP	BXYF6110000080	Check After Assy	Cek Visual +Balancing	YIMM	HANDLE COMP ASSY	60	60	1	
	7418	FG-YMI-0919	HANDLE COMP	BXYF6110000080	Assy	Sub Assy 1-2 Assy 1	YIMM	HANDLE COMP ASSY	54	66.66666667	1	
	7419	FG-YMI-0919	HANDLE COMP	BXYF6110000080	Assy	Assy 2-4	YIMM	HANDLE COMP ASSY	98	36.73469388	1	
	7420	FG-YMI-0934	"STAND,SIDE"	BXYF7311000080	Check After Assy	Check Visual + Insp Jig + Gosok + Buang Spatter + Check Noice	YIMM	WELDING UMUM	90	40	1	
	7421	FG-YMI-0934	"STAND,SIDE"	BXYF7311000080	Assy	Assy 1-2	YIMM	WELDING UMUM	62	58.06451613	1	
	7422	FG-YMI-0934	"STAND,SIDE"	BXYF7311000080	Check After Assy	Buang Spatter + Gosok + Lap + Sanding + Visual + Cek jig	YIMM	WELDING UMUM	75	48	1	
	7423	FG-YMI-0927	"STAY,1"	BXYF8356000080	Final Check	Final Check	YIMM	CHECK FINISH	36	100	1	
	7424	FG-YMI-0927	"STAY,1"	BXYF8356000080	Final Check	Final Check (EXPORT)	YIMM	CHECK FINISH EXP	36	100	1	
	7425	FG-YMI-0927	"STAY,1"	BXYF8356000080	Assy	Assy Welding	YIMM	WELDING ROBOT	36	100	1	
	7426	FG-YMI-0927	"STAY,1"	BXYF8356000080	Check After Assy	Buang Sparter + Gosok + Lap + Visual + Check Jig	YIMM	WELDING ROBOT	30	120	1	
	7427	FG-YMI-0946	"PIPE,STEERING HEAD SUB COMP"	BXYXF131000080	Assy	Sub Assy 1-2 + Assy 1-3	YIMM	WELDING UMUM	58	62.06896552	1	
	7428	FG-YMI-0946	"PIPE,STEERING HEAD SUB COMP"	BXYXF131000080	Check After Assy	Buang Spatter + Gosok + Cek jig + Visual + Packing	YIMM	WELDING UMUM	62	58.06451613	1	
	7429	FG-YMI-0887	HANDLE COMP	D48F6110000080	Assy	Sub Assy - Assy 1 ~ 4	YIMM	HANDLE COMP ASSY	205	17.56097561	1	
	7430	FG-YMI-0887	HANDLE COMP	D48F6110000080	Final Check	Final Check	YIMM	HANDLE COMP CHECK	144	25	1	
	7431	FG-MKM-0022	PIPE AIR BATDDF2	ME-41309M	Assy	Assy 1-4	MKM	WELDING UMUM	300	12	1	
	7432	FG-MKM-0022	PIPE AIR BATDDF2	ME-41309M	Check After Assy	Leak Test	MKM	WELDING UMUM	300	12	1	
	7433	FG-MKM-0022	PIPE AIR BATDDF2	ME-41309M	Check After Assy	Buang Spater(Brush & Air Blow )	MKM	WELDING UMUM	180	20	1	
	7434	FG-MKM-0022	PIPE AIR BATDDF2	ME-41309M	Final Check	Check By Cermin + Lampu	MKM	WELDING UMUM	180	20	1	
	7435	FG-MKM-0022	PIPE AIR BATDDF2	ME-41309M	Final Check	Final Insp	MKM	WELDING UMUM	211.7647059	17	1	
												
												
												
												
												
												
												
												
